,0,1,2,3,4,5,6,7,8,9
4140,0.2275696,0.2055359,0.1820831,0.1605301,0.1355743,0.11409,0.09078217,0.0668335,0.04451752,0.2278366
4160,0.209053,0.184433,0.1610947,0.1388855,0.1147385,0.09033203,0.06712341,0.0449295,0.2300949,0.2083435
4180,0.1857758,0.1631012,0.138916,0.1172638,0.09289551,0.06860352,0.04663086,0.2312622,0.2111969,0.1861572
4200,0.1636353,0.142395,0.1163483,0.0921936,0.06840515,0.04623413,0.233902,0.2114868,0.1876526,0.1630096
4220,0.1411438,0.118576,0.0930481,0.06904602,0.04685974,0.2366333,0.2119598,0.1899719,0.1666718,0.1421204
4240,0.1185608,0.09405518,0.070755,0.04594421,0.2389679,0.2148438,0.1892395,0.1654968,0.1426239,0.1204987
4260,0.09585571,0.07131958,0.0473938,0.2406311,0.217926,0.1930237,0.1682587,0.1455231,0.1191559,0.09498596
4280,0.07107544,0.04795837,0.2456207,0.2199097,0.1949615,0.1685181,0.1458435,0.1217499,0.09672546,0.0710907
4300,0.04774475,0.2475281,0.2233734,0.1946106,0.1725159,0.1481323,0.1221466,0.09675598,0.07165527,0.04760742
4320,0.2486267,0.223175,0.1982269,0.1726837,0.1509247,0.1255493,0.09822083,0.07220459,0.04714966,0.2496338
4340,0.2245178,0.1998901,0.1755676,0.1499786,0.1237793,0.09857178,0.07293701,0.04975891,0.2514038,0.2250977
4360,0.2019501,0.1762238,0.151825,0.1268311,0.09909058,0.07475281,0.04989624,0.2541351,0.2271881,0.2019348
4380,0.1794281,0.1513672,0.1278076,0.1017761,0.07493591,0.0504303,0.2576599,0.2302094,0.2041016,0.1820984
